Rank,Team,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G
1,DAL,41,26,8,13,6,0,3,17
2,NE,36,23,7,11,3,0,0,17
3,MIA,48,14,13,14,5,0,1,17
4,BUF,42,19,11,10,1,0,0,17
5,NO,46,18,7,12,2,0,0,17
6,TB,47,17,12,15,2,0,0,17
7,IND,33,19,14,17,1,1,2,17
8,KC,31,15,14,18,4,0,0,17
9,ARI,41,13,14,20,2,0,0,17
10,MIN,51,16,8,13,2,0,2,17
11,TEN,43,16,6,10,3,0,0,17
12,LAR,50,19,6,13,0,0,1,17
13,DEN,36,13,6,6,1,0,0,17
14,SF,48,9,11,21,2,0,0,17
15,GB,39,18,8,9,2,0,0,17
16,PHI,29,12,4,11,5,0,0,17
17,PIT,55,13,9,16,0,0,1,17
18,CIN,42,13,8,14,2,0,0,17
19,CHI,49,8,8,12,2,1,1,17
20,CLE,43,13,6,12,2,0,0,17
21,SEA,34,11,7,8,0,1,1,17
22,WAS,38,11,7,9,2,0,1,17
23,CAR,39,9,7,11,0,1,1,17
24,HOU,32,17,8,15,1,1,1,17
25,NYG,34,15,7,10,1,1,0,17
26,BAL,34,9,6,8,1,0,0,17
27,LAC,35,11,10,18,1,0,1,17
28,LV,35,6,9,9,0,1,0,17
29,ATL,18,12,8,10,2,1,0,17
30,JAC,32,7,2,6,0,0,1,17
31,NYJ,33,7,7,12,1,0,1,17
32,DET,30,11,8,11,0,0,0,17
