Rank,Player,Team,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G
1,Cooper Kupp ,LAR,145,191,"1,947",13.4,59,0,16,4,18,0,0,17
2,Deebo Samuel ,SF,77,121,"1,405",18.2,83,0,6,59,365,8,2,16
3,Ja'Marr Chase ,CIN,81,128,"1,455",18,82,0,13,7,21,0,1,17
4,Justin Jefferson ,MIN,108,167,"1,616",15,56,0,10,6,14,0,1,17
5,Davante Adams ,LV,123,169,"1,553",12.6,59,0,11,0,0,0,0,16
6,Mike Evans ,TB,74,114,"1,035",14,46,0,14,1,10,0,0,16
7,Tyreek Hill ,MIA,111,159,"1,239",11.2,75,0,9,9,96,0,1,17
8,Stefon Diggs ,BUF,103,164,"1,225",11.9,61,0,10,0,0,0,0,17
9,Mike Williams ,LAC,76,129,"1,146",15.1,72,0,9,0,0,0,0,16
10,DK Metcalf ,SEA,75,129,967,12.9,84,0,12,1,6,0,0,17
11,Tyler Lockett ,SEA,73,107,"1,175",16.1,69,0,8,2,9,0,0,16
12,Diontae Johnson ,PIT,107,169,"1,161",10.9,50,0,8,5,53,0,2,16
13,Hunter Renfrow ,LV,103,128,"1,038",10.1,54,0,9,3,3,0,1,17
14,CeeDee Lamb ,DAL,79,120,"1,102",13.9,49,0,6,9,76,0,0,16
15,Keenan Allen ,LAC,106,157,"1,138",10.7,42,0,6,0,0,0,0,16
16,Michael Pittman Jr. ,IND,88,129,"1,082",12.3,57,0,6,5,44,0,0,17
17,Tee Higgins ,CIN,74,110,"1,091",14.7,54,0,6,0,0,0,1,14
18,DJ Moore ,CAR,93,163,"1,157",12.4,64,0,4,8,48,0,1,17
19,Chris Godwin ,TB,98,127,"1,103",11.3,44,0,5,4,21,1,2,14
20,Brandin Cooks ,HOU,90,134,"1,037",11.5,52,0,6,2,21,0,0,16
21,Jaylen Waddle ,MIA,104,140,"1,015",9.8,57,0,6,2,3,1,1,16
22,Darnell Mooney ,CHI,81,140,"1,055",13,64,0,4,6,32,1,0,17
23,Amon-Ra St. Brown ,DET,90,119,912,10.1,37,0,5,7,61,1,0,16
24,Terry McLaurin ,WAS,77,130,"1,053",13.7,46,0,5,1,12,0,0,17
25,Marquise Brown ,ARI,91,146,"1,008",11.1,49,0,6,1,5,0,1,16
26,Amari Cooper ,CLE,68,104,865,12.7,41,0,8,0,0,0,0,15
27,Adam Thielen ,MIN,67,95,726,10.8,35,0,10,1,2,0,0,13
28,Christian Kirk ,JAC,77,103,982,12.8,50,0,5,1,11,0,0,17
29,Kendrick Bourne ,NE,55,70,800,14.5,75,0,5,12,125,0,1,17
30,DeVonta Smith ,PHI,64,104,916,14.3,46,0,5,0,0,0,1,17
31,Van Jefferson ,LAR,50,89,802,16,79,0,6,2,20,0,0,17
32,A.J. Brown ,PHI,63,105,869,13.8,57,0,5,2,10,0,0,13
33,Tyler Boyd ,CIN,67,94,828,12.4,68,0,5,2,22,0,0,16
34,Brandon Aiyuk ,SF,56,84,826,14.8,43,0,5,5,17,0,1,17
35,K.J. Osborn ,MIN,50,82,655,13.1,64,0,7,1,10,0,0,17
36,Chase Claypool ,PIT,59,105,860,14.6,59,0,2,14,96,0,0,15
37,Marvin Jones Jr. ,JAC,73,120,832,11.4,33,0,4,0,0,0,0,17
38,Marquez Callaway ,NO,46,84,698,15.2,58,0,6,0,0,0,0,17
39,DeAndre Hopkins ,ARI,42,64,572,13.6,55,0,8,0,0,0,0,10
40,Tim Patrick ,DEN,53,85,734,13.8,44,0,5,0,0,0,0,16
41,Jakobi Meyers ,NE,83,126,866,10.4,39,0,2,1,9,0,1,16
42,A.J. Green ,ARI,54,92,848,15.7,42,0,3,0,0,0,0,16
43,Cedrick Wilson Jr. ,MIA,45,61,602,13.4,73,0,6,2,11,0,0,14
44,Allen Lazard ,GB,40,60,513,12.8,42,0,8,3,32,0,0,14
45,Russell Gage ,TB,66,94,770,11.7,49,0,4,0,0,0,2,13
46,Elijah Moore ,NYJ,43,77,538,12.5,62,0,5,5,54,1,0,11
47,Robert Woods ,TEN,45,69,556,12.4,28,0,4,8,46,1,0,9
48,Courtland Sutton ,DEN,58,98,776,13.4,55,0,2,0,0,0,0,17
49,Gabriel Davis ,BUF,35,63,549,15.7,49,0,6,0,0,0,0,15
50,Emmanuel Sanders ,BUF,42,72,626,14.9,41,0,4,2,31,0,0,14
51,Robbie Anderson ,CAR,53,110,519,9.8,57,0,5,3,36,0,0,17
52,Odell Beckham Jr. ,LAR,44,82,537,12.2,54,0,5,2,14,0,0,14
53,Byron Pringle ,CHI,42,60,568,13.5,40,0,5,0,0,0,1,16
54,Kalif Raymond ,DET,48,71,576,12,75,0,4,4,28,0,0,16
55,Mecole Hardman ,KC,59,83,693,11.7,53,0,2,8,46,0,2,17
56,Jarvis Landry ,CLE,52,87,570,11,38,0,2,6,40,2,2,12
57,Antonio Brown ,FA,42,62,545,13,62,0,4,1,6,0,0,7
58,Cole Beasley ,FA,82,112,693,8.5,29,0,1,0,0,0,0,16
59,Deonte Harty ,NO,36,59,570,15.8,72,0,3,5,41,0,1,13
60,Donovan Peoples-Jones ,CLE,34,58,597,17.6,60,0,3,0,0,0,1,14
61,Bryan Edwards ,ATL,34,59,571,16.8,51,0,3,1,0,0,0,16
62,Braxton Berrios ,NYJ,46,65,431,9.4,46,0,2,7,40,2,1,16
63,Quez Watkins ,PHI,43,62,647,15,91,0,1,1,3,0,0,17
64,Corey Davis ,NYJ,34,59,492,14.5,53,0,4,0,0,0,1,9
65,Nick Westbrook-Ikhine ,TEN,38,57,476,12.5,46,0,4,0,0,0,1,15
66,Nelson Agholor ,NE,37,64,473,12.8,44,0,3,3,11,0,0,15
67,Jalen Guyton ,LAC,31,48,448,14.5,59,0,3,7,34,0,0,16
68,Randall Cobb ,GB,28,39,375,13.4,54,0,5,1,1,0,1,11
69,Laviska Shenault Jr. ,JAC,63,100,619,9.8,58,0,0,11,41,0,1,16
70,DeVante Parker ,NE,40,73,515,12.9,42,0,2,0,0,0,0,10
71,DeAndre Carter ,LAC,24,44,296,12.3,26,0,3,10,89,0,0,17
72,Freddie Swain ,SEA,25,40,343,13.7,68,0,4,5,32,0,0,17
73,Marquez Valdes-Scantling ,KC,26,55,430,16.5,75,0,3,0,0,0,0,11
74,Henry Ruggs III ,FA,24,36,469,19.5,61,0,2,3,16,0,0,7
75,Joshua Palmer ,LAC,33,49,353,10.7,36,0,4,1,6,0,0,15
76,Zay Jones ,LAC,47,70,546,11.6,43,0,1,2,3,0,1,15
77,Olamide Zaccheaus ,ATL,31,53,406,13.1,49,0,3,1,2,0,0,15
78,Jamison Crowder ,BUF,51,71,447,8.8,29,0,2,0,0,0,1,12
79,Jauan Jennings ,SF,24,38,282,11.8,34,0,5,0,0,0,0,13
80,Rashod Bateman ,BAL,46,68,515,11.2,36,0,1,0,0,0,0,12
81,Michael Gallup ,DAL,35,62,445,12.7,41,0,2,0,0,0,0,9
82,Zach Pascal ,PHI,38,69,384,10.1,41,0,3,2,21,0,1,16
83,DeSean Jackson ,FA,20,34,454,22.7,75,0,2,1,4,0,1,14
84,Tre'Quan Smith ,NO,32,50,377,11.8,34,0,3,0,0,0,0,10
85,Rondale Moore ,ARI,54,64,435,8.1,77,0,1,18,76,0,1,14
86,Kenny Golladay ,NYG,37,76,521,14.1,36,0,0,0,0,0,0,14
87,Jamal Agnew ,JAC,24,39,229,9.5,29,0,1,7,111,1,0,12
88,Josh Reynolds ,DET,29,49,396,13.7,39,0,2,0,0,0,0,11
89,T.Y. Hilton ,FA,23,37,331,14.4,52,0,3,0,0,0,0,10
90,Keelan Cole Sr. ,LV,28,51,449,16,54,0,1,0,0,0,0,14
91,Nico Collins ,HOU,33,60,446,13.5,32,0,1,0,0,0,0,14
92,Laquon Treadwell ,JAC,33,51,434,13.2,41,0,1,0,0,0,0,12
93,Julio Jones ,FA,31,48,434,14,51,0,1,0,0,0,0,10
94,Allen Robinson II ,LAR,38,66,410,10.8,39,0,1,0,0,0,0,12
95,Jerry Jeudy ,DEN,38,56,467,12.3,40,0,0,2,3,0,0,10
96,Mack Hollins ,LV,14,28,223,15.9,65,0,4,0,0,0,0,16
97,Jalen Reagor ,PHI,33,57,299,9.1,34,0,2,10,32,0,0,17
98,Danny Amendola ,FA,24,38,248,10.3,39,0,3,0,0,0,0,8
99,Demarcus Robinson ,LV,25,41,264,10.6,33,0,3,0,0,0,0,15
100,Devin Duvernay ,BAL,33,47,272,8.2,21,0,2,7,50,0,0,16
